0,18,13,18
1,20,11,18
2,22,13,18
3,24,13,18
4,26,13,18
5,10,11,18
6,14,11,18
7,16,14,22
8,6,11,18
9,36,13,18
10,38,13,18
11,26,8,18
12,42,16,22
13,44,16,22
14,46,11,22
15,42,12,20
16,50,16,22
17,52,16,22
18,22,10,22
19,10,10,22
20,58,16,22
21,8,8,22
22,30,14,22
23,60,10,22
24,16,10,22
25,34,17,26
26,54,6,24
27,72,19,26
28,48,10,22
29,48,15,24
30,20,7,22
31,16,13,24
32,80,11,24
33,64,15,24
34,74,14,24
35,62,12,24
36,90,19,26
37,46,14,26
38,86,9,26
39,26,6,26
40,92,17,26
41,54,4,26
42,102,19,26
43,82,7,26
44,44,12,26
45,42,12,24
46,62,12,26
47,6,13,24
48,72,9,26
49,64,4,26
50,118,19,26
51,8,14,24
52,70,7,26
53,120,11,26
54,74,12,26
55,110,13,26
56,26,12,26
57,66,15,28
58,134,15,28
59,42,13,26
60,126,11,26
61,100,13,26
62,62,12,26
63,84,17,26
64,44,9,28
65,28,14,28
66,118,10,26
67,66,18,28
68,50,13,28
69,8,18,28
70,36,14,30
71,20,11,26
72,72,15,30
73,104,11,26
74,38,15,30
75,22,15,28
76,94,10,30
77,24,14,26
78,132,10,26
79,56,13,30
80,126,13,30
81,80,16,26
82,42,15,30
83,110,15,28
84,180,15,30
85,72,10,26
86,130,13,30
87,132,14,30
88,96,19,28
89,160,17,30
90,184,12,30
91,174,16,30
92,24,12,28
93,104,11,26
94,106,4,30
95,78,11,28
96,134,12,30
97,206,14,30
98,134,12,28
99,188,16,30
100,112,6,30
101,208,19,28
102,26,18,30
103,26,19,30
104,94,13,30
105,52,18,30
106,96,18,30
107,94,16,30
108,154,15,30
109,68,16,30
110,110,15,30
111,206,20,30
112,36,17,30
113,114,19,30
114,212,21,30
115,12,19,28
116,20,17,30
117,162,13,30
118,144,14,30
119,182,16,30
120,46,19,30
121,238,12,30
122,10,18,30
123,170,15,30
124,86,17,30
125,234,19,32
126,242,13,30
127,206,13,30
128,96,18,30
129,156,12,30
130,132,18,30
131,26,18,30
132,178,15,30
133,278,16,32
134,12,19,30
135,32,19,32
136,230,10,32
137,72,18,34
138,202,17,30
139,142,18,30
140,240,20,32
141,24,22,32
142,276,19,32
143,26,15,34
144,244,19,30
145,20,20,30
146,210,20,32
147,312,20,34
148,292,20,32
149,190,18,30
150,294,21,32
151,106,22,32
152,118,20,32
153,160,23,32
154,200,21,32
155,96,19,30
156,232,18,30
157,138,15,32
158,14,20,30
159,248,21,30
160,294,20,32
161,142,17,32
162,148,21,32
163,102,21,30
164,86,9,32
165,46,11,30
166,252,20,32
167,280,17,34
168,22,21,30
169,86,28,34
170,66,17,32
171,168,20,34
172,304,21,34
173,322,13,30
174,332,13,34
175,54,14,32
176,300,22,32
177,198,17,32
178,326,21,34
179,216,17,34
180,100,11,32
181,130,18,32
182,174,20,32
183,304,20,32
184,312,16,34
185,272,19,34
186,214,15,32
187,330,21,32
188,346,25,32
189,280,20,32
190,288,19,34
191,136,22,30
192,20,23,32
193,160,15,34
194,64,18,34
195,334,23,30
196,296,20,32
197,366,19,34
198,354,25,32
199,18,22,32
200,264,20,34
201,236,21,34
202,296,20,32
203,280,16,34
204,90,28,34
205,198,24,34
206,366,24,34
207,336,18,34
208,60,23,32
209,78,24,34
210,100,23,34
211,280,19,34
212,152,21,32
213,356,15,34
214,78,20,34
215,258,20,34
216,372,18,34
217,108,24,34
218,454,23,34
219,56,18,32
220,200,22,32
221,186,25,34
222,356,17,34
223,334,21,34
224,440,23,32
225,220,23,34
226,292,26,34
227,380,20,34
228,474,25,34
229,118,27,32
230,168,19,34
231,480,28,34
232,460,19,34
233,318,15,34
234,308,18,34
235,460,24,34
236,490,26,34
237,72,16,34
238,110,21,34
239,130,17,34
240,142,24,34
241,486,19,34
242,106,22,34
243,306,23,34
244,286,21,34
245,366,25,34
246,392,19,34
247,310,28,34
248,230,22,34
249,58,24,34
250,70,18,34
251,200,21,34
252,20,23,34
253,458,27,36
254,168,26,34
255,492,25,34
256,398,24,36
257,62,27,36
258,164,28,34
259,152,21,34
260,280,15,34
261,450,23,34
262,250,22,34
263,96,25,34
264,180,31,34
265,506,26,34
266,274,29,36
267,102,25,34
268,118,25,36
269,556,27,36
270,458,21,34
271,534,25,34
272,376,22,34
273,402,24,34
274,362,19,34
275,222,28,34
276,364,17,34
277,310,17,34
278,574,27,36
279,244,26,34
280,54,21,36
281,490,20,38
282,30,28,34
283,358,26,34
284,88,23,36
285,456,20,34
286,194,20,34
287,274,21,36
288,438,28,34
289,458,13,34
290,256,29,34
291,380,19,34
292,352,29,34
293,382,30,34
294,412,24,36
295,108,27,34
296,520,24,34
297,612,26,36
298,370,24,38
299,330,17,36
300,526,25,34
301,326,19,38
302,534,26,38
303,194,25,34
304,568,23,38
305,88,23,36
306,414,19,36
307,322,19,36
308,440,28,36
309,448,25,38
310,194,29,34
311,238,31,38
312,334,23,34
313,460,19,38
314,196,26,36
315,542,22,34
316,264,23,34
317,124,22,36
318,600,21,38
319,312,23,34
320,146,23,34
321,320,28,34
322,450,31,34
323,282,29,36
324,598,24,34
325,344,13,38
326,398,24,36
327,36,31,34
328,118,30,36
329,386,23,34
330,594,32,38
331,42,31,34
332,172,28,36
333,268,24,36
334,166,29,36
335,320,25,36
336,380,22,38
337,388,22,38
338,640,28,36
339,582,27,36
340,40,33,36
341,172,23,38
342,314,22,36
343,636,22,36
344,362,23,36
345,648,23,34
346,138,26,38
347,388,25,38
348,36,31,36
349,110,27,38
350,376,22,36
351,316,30,36
352,350,39,34
353,398,26,38
354,378,32,38
355,728,27,36
356,582,28,36
357,250,25,38
358,60,28,38
359,688,33,36
360,690,29,36
361,740,32,38
362,460,36,38
363,66,32,36
364,192,26,38
365,466,29,36
366,46,33,34
367,44,35,36
368,502,31,34
369,596,26,36
370,314,31,34
371,184,34,34
372,554,32,38
373,478,31,38
374,304,18,36
375,242,34,38
376,644,35,38
377,434,29,38
378,124,25,38
379,272,26,36
380,400,21,38
381,30,28,34
382,122,29,34
383,210,24,36
384,408,13,38
385,582,29,36
386,510,24,38
387,328,28,36
388,230,25,38
389,554,32,38
390,26,26,36
391,266,26,38
392,694,27,36
393,162,30,36
394,538,26,38
395,656,32,38
396,784,29,38
397,184,36,34
398,662,35,34
399,132,35,34
400,242,30,38
401,122,23,38
402,766,32,38
403,150,32,38
404,252,28,38
405,736,32,38
406,396,32,36
407,832,37,38
408,600,37,36
409,726,26,38
410,72,23,38
411,256,33,36
412,732,34,38
413,712,30,38
414,774,30,36
415,546,40,38
416,674,30,38
417,66,28,38
418,262,33,38
419,296,31,36
420,46,36,36
421,154,31,38
422,724,31,38
423,96,32,38
424,298,39,38
425,626,37,36
426,490,22,36
427,662,34,36
428,390,35,36
429,126,27,38
430,804,28,38
431,880,33,36
432,446,19,38
433,200,35,38
434,442,29,38
435,162,27,38
436,322,36,38
437,734,33,38
438,48,37,36
439,196,31,34
440,130,27,38
441,506,31,38
442,686,25,38
443,620,34,38
444,788,31,36
445,204,29,38
446,310,37,36
447,530,32,36
448,866,27,38
449,742,38,38
450,340,35,38
451,842,42,38
452,616,29,38
453,168,34,38
454,840,31,36
455,700,31,38
456,884,44,38
457,862,30,38
458,810,36,38
459,484,28,36
460,852,40,36
461,624,28,38
462,594,32,38
463,270,23,38
464,794,29,38
465,246,25,38
466,754,30,38
467,400,31,38
468,60,40,36
469,732,24,38
470,194,38,38
471,918,40,38
472,218,37,38
473,534,27,38
474,288,31,38
475,758,27,36
476,234,32,38
477,624,31,38
478,268,27,38
479,194,33,38
480,626,34,38
481,342,33,38
